# JLPT N5 Kanji;;;;;
* Kanji;Onyomi;?Onjomi Romanji;Kunyomi;?Kunyomi Romanji;Meaning;?Description
語;ゴ;go;かた(る);kata(ru);word, speech, language
土;ド、 ト;do, to;つち;tsuchi;soil, earth, ground
木;ボク、 モク;boku, moku;き、 こ-;ki, ko;tree, wood
聞;ブン、 モン;bun, mon;き(く);ki(ku);to hear, to listen, to ask
食;ショク、 ジキ;shoku, jiki;く(う)、 た(べる)、 は(む);k(u), ta(beru), ha(mu);eat, food
車;シャ;sha;くるま;kuruma;car, wheel
何;カ;ka;なに、 なん;nani, nan;what
南;ナン、 ナ;nan, na;みなみ;minami;south
万;マン、 バン;man, ban;;;ten thousand, 10,000
毎;マイ;mai;ごと(に);goto(ni);every
白;ハク、 ビャク;haku, byaku;しろ(い);shiro(i);white
天;テン;ten;あまつ;amatsu;heavens, sky, imperial
母;ボ;bo;はは、 かあ;haha, kaa;mother
火;カ;ka;ひ、 -び、 ほ-;hi, bi, ho;fire
右;ウ、 ユウ;u, yuu;みぎ;migi;right
読;ドク、 トク、 トウ;doku, toku, tou;よ(む);yo(mu);to read
友;ユウ;yuu;とも;tomo;friend
左;サ、 シャ;sa, sha;ひだり;hidari;left
休;キュウ;kyuu;やす(む);yasu(mu);rest, day off, retire, sleep
父;フ;fu;ちち、 とう;chichi, tou;father
雨;ウ;u;あめ、 あま;ame, ama;rain
