# JLPT N5 Nouns;;
* 文法;Noun;?Romanji;Meaning
お弁当;おべんとう;obentou;lunch box, Japanese box lunch
お茶;おちゃ;ocha;tea
お風呂;おふろ;ofuro;bath
伯父さん;おじさん;ojisan;uncle, old man, mister
お母さん;おかあさん;okaasan;mother, mom, mum, ma
お金;おかね;okane;money
お菓子;おかし;okashi;confections, sweets, candy
奥さん;おくさん;okusan;wife, your wife, his wife
お巡りさん;おまわりさん;omawari san;police officer (friendly term for policeman)
同じ;おなじ;onaji;same
お腹;おなか;onaka;stomach
お姉さん;おねえさん;oneesan;elder sister, young lady, miss, ma'am
音楽;おんがく;ongaku;music
お兄さん;おにいさん;oniisan;older brother, elder brother, young man, buddy
女;おんな;onna;woman, female sex
女の子;おんなのこ;onnanoko;girl, daughter, young women
大勢;おおぜい;oozei;crowd of people, great number of people
お酒;おさけ;osake;alcohol
お皿;おさら;osara;plate, dish
お手洗い;おてあらい;otearai;toilet, restroom, lavatory, bathroom
男;おとこ;otoko;man, male
男の子;おとこのこ;otokonoko;boy, male child, baby boy
大人;おとな;otona;adult
一昨日;おととい;ototoi;day before yesterday
一昨年;おととし;ototoshi;year before last
お父さん;おとうさん;otousan;father, dad, papa, pa, pop, daddy
弟;おとうと;otouto;younger brother
パーティー;;paatii;party
パン;;pan;bread
ページ;;peeji;page
ペン;;pen;pen
ペット;;petto;pet
ポケット;;poketto;pocket
ポスト;;posuto;post
プール;;puuru;swimming pool
来月;らいげつ;raigetsu;next month
来年;らいねん;rainen;next year
来週;らいしゅう;raishuu;next week
ラジオ;;rajiio;radio
零;れい;rei;zero
冷蔵庫;れいぞうこ;reizouko;refrigerator
レコード;;rekoodo;record
練習;れんしゅう;renshuu;practice, practicing
レストラン;;resutoran;restaurant
六;ろく;roku;six, 6
廊下;ろうか;rouka;corridor, hallway, passageway
旅行;りょこう;ryokou;travel, trip, journey, excursion, tour
料理;りょうり;ryouri;cuisine
両親;りょうしん;ryoushin;parents, both parents
留学生;りゅうがくせい;ryuugakusei;overseas student, exchange student
財布;さいふ;saifu;purse, wallet
魚;さかな;sakana;fish
先;さき;saki;previous, prior, first, earlier
作文;さくぶん;sakubun;writing, composition
三;さん;san;three, 3
散歩;さんぽ;sanpo;walk, stroll
再来年;さらいねん;sarainen;year after next
砂糖;さとう;satou;sugar
背;せ;se;height, stature, back, spine
背広;せびろ;sebiro;business suit
セーター;;seetaa;sweater, jumper
生徒;せいと;seito;pupil, student
石鹼;せっけん;sekken;soap
千;せん;sen;1,000, thousand
先月;せんげつ;sengetsu;last month
先生;せんせい;sensei;teacher, instructor, master
先週;せんしゅう;senshuu;last week
洗濯;せんたく;sentaku;washing, laundry
写真;しゃしん;shashin;photograph, photo
シャツ;;shatsu;shirt
シャワー;;shawaa;shower
四;し;shi;four, 4
七;しち;shichi;seven, 7
仕事;しごと;shigoto;work, job, business
新聞;しんぶん;shinbun;newspaper
塩;しお;shio;salt
白;しろ;shiro;white, innocence, innocent person
下;した;shita;below, down, under, bottom
質問;しつもん;shitsumon;question, inquiry
食堂;しょくどう;shokudou;cafeteria, dining room
醬油;しょうゆ;shouyu;soy sauce
宿題;しゅくだい;shukudai;homework, assignment, pending issue
そば;;soba;near, beside
空;そら;sora;sky, the air
外;そと;soto;outside, exterior,
掃除;そうじ;souji;to clean, to sweep
水曜日;すいようび;suiyoubi;Wednesday
スカート;;sukaato;skirt
好き;すき;suki;like
少し;すこし;sukoshi;a little (bit), small quantity, few, short distance
スポーツ;;supootsu;sport, sports
スプーン;;supuun;spoon
スリッパ;;surippa;slipper, slippers
ストーブ;;sutoobu;heater, stove
たばこ;;tabako;tobacco, cigarette
食べ物;たべもの;tabemono;food
大変;たいへん;taihen;very, greatly, terribly, serious, difficult
大切;たいせつ;taisetsu;important, necessary, indispensable, beloved
大使館;たいしかん;taishikan;embassy
沢山;たくさん;takusan;many
タクシー;;takushii;taxi
卵;たまご;tamago;eggs, egg
誕生日;たんじょうび;tanjoubi;birthday
縦;たて;tate;length,height
建物;たてもの;tatemono;building
手;て;te;hand, arm
テーブル;;teeburu;table
テープ;;teepu;tape
テープレコーダー;;teepu rekoodaa;tape recorder
手紙;てがみ;tegami;Letter (message)
天気;てんき;tenki;weather, the elements
テレビ;;terebi;television, TV
テスト;;tesuto;examination, quiz, test
戸;と;to;Japanese style door
トイレ;;toire;toilet
時計;とけい;tokei;watch, clock, timepiece
時;とき;toki;time, moment, occasion, chance
時々;ときどき;tokidoki;sometimes, at times
所;ところ;tokoro;place
友達;ともだち;tomodachi;friend, companion
隣;となり;tonari;next door to
十日;とおか;tooka;tenth day of the month / 10 days
鳥;とり;tori;bird
鶏肉;とりにく;toriniku;chicken meat
年;とし;toshi;year, age
図書館;としょかん;toshokan;library
次;つぎ;tsugi;next
一日;ついたち;tsuitachi;first day of the month
机;つくえ;tsukue;desk
上;うえ;ue;above, up, over, top, surface
海;うみ;umi;sea
後ろ;うしろ;ushiro;back, behind, rear
歌;うた;uta;song
上着;うわぎ;uwagi;coat, tunic, jacket, outer garment
ワイシャツ;;wai shatsu;shirt
山;やま;yama;mountain, hill
八百屋;やおや;yaoya;greengrocer, fruit and vegetable shop, versatile
野菜;やさい;yasai;vegetable
休み;やすみ;yasumi;rest, vacation, holiday
八つ;やっつ;yattsu;eight: 8
四日;よっか;yokka;fourth day of the month / 4 days
横;よこ;yoko;beside,side,width
夜;よる;yoru;evening, night
四つ;よつ;yotsu;four, 4
洋服;ようふく;youfuku;western clothes
八日;ようか;youka;eighth day of the month / 8 days
雪;ゆき;yuki;snow
昨夜;ゆうべ;yuube;last night
郵便局;ゆうびんきょく;yuubinkyoku;post office
夕方;ゆうがた;yuugata;evening, dusk
夕飯;ゆうはん;yuuhan;evening meal
有名;ゆうめい;yuumei;famous
雑誌;ざっし;zasshi;magazine
全部;ぜんぶ;zenbu;all
ゼロ;ゼロ;zero;zero
ズボン;ズボン;zubon;trousers, pants
