# Лексика JLPT N3: 400 слов
* Kanji;Kana;Meaning
信用;しんよう;доверие
責任;せきにん;ответственность
立場;たちば;позиция, точка зрения
意見;いけん;мнение
賛成;さんせい;согласие
反対;はんたい;несогласие
協力;きょうりょく;сотрудничество
依頼;いらい;просьба, заказ
お願い;おねがい;пожалуйста, просьба
お世話;おせわ;забота, поддержка
ご迷惑;ごめいわく;беспокойство, неудобство
配慮;はいりょ;внимательность, чуткость
気遣い;きづかい;забота о другом
謙虚;けんきょ;скромность
誠意;せいい;искренность
交渉;こうしょう;переговоры
契約;けいやく;договор, контракт
取引;とりひき;сделка
商談;しょうだん;деловые переговоры
名乗る;なのる;представиться
呼ぶ;よぶ;звать, обращаться
断る;ことわる;отказывать
受ける;うける;принимать
確かめる;たしかめる;удостовериться

# 12. Медиа и технологии;;

情報;じょうほう;информация
通信;つうしん;коммуникация, связь
放送;ほうそう;телерадиовещание
番組;ばんぐみ;телепередача
広告;こうこく;реклама
宣伝;せんでん;пропаганда, продвижение
記事;きじ;статья
新聞;しんぶん;газета
雑誌;ざっし;журнал
出版;しゅっぱん;издание, публикация
印刷;いんさつ;печать
画面;がめん;экран
画像;がぞう;изображение
映像;えいぞう;видеоизображение
動画;どうが;видео
音声;おんせい;звук, голос
録画;ろくが;видеозапись
録音;ろくおん;аудиозапись
配信;はいしん;стриминг, доставка контента
接続;せつぞく;соединение
通信料;つうしんりょう;плата за связь
電源;でんげん;питание, источник тока
充電;じゅうでん;зарядка
電池;でんち;батарейка, аккумулятор
画素;がそ;пиксель
操作;そうさ;управление, операция
設定;せってい;настройка
保存;ほぞん;сохранение
削除;さくじょ;удаление
検索;けんさく;поиск
登録;とうろく;регистрация
更新;こうしん;обновление
迷惑メール;めいわくめーる;спам
